Nameof movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection
Enemy of the State,1998,132 ,7.3,67,"251,292",$111.55M
Safe,I 2012,94 ,6.5,55,"113,724",$17.14M
The Boondock Saints,1999,108 ,7.7,44,"243,745",$0.03M
Lethal Weapon,1987,109 ,7.6,68,"266,921",$65.21M
Con Air,1997,115 ,6.9,52,"308,725",$101.12M
Faster,2010,98 ,6.4,44,"109,996",$23.24M
Mr. & Mrs. Smith,2005,120 ,6.5,55,"513,430",$186.34M
Salt,2010,100 ,6.4,65,"322,171",$118.31M
Tears of the Sun,2003,121 ,6.6,48,"126,608",$43.73M
Shooter,I 2007,124 ,7.1,53,"343,787",$47.00M
Hard Target,1993,97 ,6.2,63,"53,861",$32.59M
Ninja: Shadow of a Tear,2013,95 ,6.1,^^^,"12,982",^^^^^^
The Green Berets,1968,142 ,5.6,^^^,"13,465",$21.71M
Dredd,2012,95 ,7.1,60,"283,474",$13.41M
Starship Troopers,1997,129 ,7.3,52,"306,103",$54.81M
Clear and Present Danger,1994,141 ,6.9,74,"103,824",$122.19M
Red Heat,1988,104 ,6.1,61,"73,535",$34.99M
Demolition Man,1993,115 ,6.7,34,"184,640",$58.06M
Streets of Fire,1984,93 ,6.7,59,"22,907",$8.09M
Death Wish 3,1985,92 ,5.8,18,"16,417",$16.12M
Total Recall,1990,113 ,7.5,60,"341,686",$119.39M
Eraser,1996,115 ,6.2,56,"115,204",$101.30M
Minority Report,2002,145 ,7.6,80,"566,308",$132.07M
Blade,1998,120 ,7.1,47,"285,249",$70.09M
Executive Decision,1996,133 ,6.5,62,"59,751",$56.57M
Desperado,1995,104 ,7.1,55,"191,523",$25.63M
The Fugitive,1993,130 ,7.8,87,"305,252",$183.88M
Wong Fei Hung,1991,134 ,7.2,^^^,"19,302",^^^^^^
Indiana Jones and the Temple of Doom,1984,118 ,7.5,57,"506,729",$179.87M
